model,Mean_True,Std_True,MAE,RMSE,MAPE,R2,set
XGBoost_Optimized,31543.852531251498,6206.201873927003,1997.9538499733585,2657.8566929758445,6.263510372057379,0.8165949348878755,XGBoost Optimizado - Validation
LightGBM_Optimized,31543.852531251498,6206.201873927003,2065.9442327899806,2727.3068814620524,6.504695069586281,0.8068849057742606,LightGBM Optimizado - Validation
Random_Forest,31543.852531251498,6206.201873927003,2119.153975142085,2855.0210931014344,6.620872474265322,0.7883750608873534,Random Forest - Validation
Lag_Naive_1day,31543.852531251498,6206.201873927003,3411.4011207433305,4469.488118110714,10.706418705628106,0.48136266390105065,LagNaive_1day - Validation
Lag_Naive_1week,31543.852531251498,6206.201873927003,3560.971789836678,4713.382832840361,11.042047181648272,0.4232154281098677,LagNaive_1week - Validation
RollingMean_168,31543.852531251498,6206.201873927003,4220.815288031492,5341.259961231422,13.816627612575589,0.25931144285263974,RollingMean_168 - Validation
RollingMean_24,31543.852531251498,6206.201873927003,4223.525408304996,5357.663978814467,13.807851573085303,0.25475486777979395,RollingMean_24 - Validation
