model,MAE,RMSE,MAPE,R2,set
Random_Forest,15.42734465892901,26.58366570371413,0.049381505489345515,0.9999815147499155,Random Forest - Validation
XGBoost,71.13228115027664,95.63680801925594,0.23154765443397185,0.9997607534180412,XGBoost - Validation
LightGBM,82.62470466834736,108.56752709438001,0.26727823601822776,0.9996916844080901,LightGBM - Validation
Lag_Naive_1hr,1064.2104779833785,1379.421739453566,3.4418075054711736,0.9502274686511177,LagNaive_1hr - Validation
Lag_Naive_1day,2243.931585472244,3065.8431985530146,7.014682315338804,0.7541356987473958,LagNaive_1day - Validation
Lag_Naive_1week,3184.7382799944903,4300.530747466414,9.857352048590515,0.5162291336310324,LagNaive_1week - Validation
RollingMean_24,3555.367586513002,4404.842137029945,11.740534700484199,0.49247633944158353,RollingMean_24 - Validation
RollingMean_168,4109.9449464206455,5179.412594874486,13.514516116063943,0.2982916997850926,RollingMean_168 - Validation
